Name,ID,Barrio,lat,lon,tipo,Precio,Edad,Area Construida,Area Total,Parking/admin_value,Descripcion,Estrato,Habitaciones,Baños,Other Variable,list,Tipo acabado de piso cerámica,Vigilancia 24hrs,Tipo de piso en alcobas laminado,Tipo de cocina paralela,Equipado / amoblado,Tipo de piso en estudio laminado,Ubicado en edificio,Chimenea,Terraza/Balcón terraza,Cocina integral,Esquinero,Cerca colegios / universidades,Cerca supermercados,Características del parqueadero cubierto,Tipo de piso en comedor laminado,Portería,Número de líneas teléfonicas 0,Tipo de estufa gas,Citófonos,Terraza/Balcón balcón,Piso en baldosa,Tipo acabado de piso laminado,Closets 4,Zonas verdes,Vigilancia,Tipo de casa condominio,Número de local 0,Parqueadero visitantes,Tipo de piso en estudio cerámica,Con terraza,Patio,Hall de alcobas,Estudio o biblioteca,Apto para niños,Piscina,Cuarto de servicio,Jacuzzi,Piso 2,Cocina tipo americano,Lote vacio,Sobre vía principal,Jardín,Piso 4,Piso 5,Instalación de gas natural,Deposito 0,Zona para niños,Zona de lavandería,Vigilancia 0,Tipo de parqueadero propio,Tipo de cocina lineal,Comedor auxiliar,Cerca parques,Calefacción,Gimnasio,Tipo de piso en sala cerámica,Tipo de piso en comedor cerámica,Tipo de casa tradicional,Tipo de cortinas persianas,Tipo de cocina abierta,Deposito 1,Salón comunal,Piso 1,Zona campestre,Tipo de comedor comedor independiente,Número de Ascensores 0,Circuito cerrado de TV,Zona residencial,Alarma,Zona comercial,Acceso para discapacitados,Zona de BBQ,Baño auxiliar,Tipo de lote lote vacío,Piso en porcelanato,Sauna / turco,Baños de servicio,Piso en madera,Calentador gas,Tipo de local en centro comercial,Vista panorámica,Conjunto cerrado,Cerca transporte público,Sobre vía secundaria,Tipo de piso en sala laminado,Ascensor,Depósito o cuarto útil,Cerca centros comerciales,Piso 0,Parqueadero cubierto,Tipo de comedor sala comedor,Número de Ascensores 1,Piso 3,Vista exterior,date,city
"Casa en Venta, Urbanizacion Olimpica",12373-M4076647,Urbanizacion Olimpica,na,na,apartamento,$580.000.000,Entre 0 y 5 años,245 m²,240 m²,1,"Deseas una vida de comodidad y estilo? A pasos de la vibrante Zona de Unicentro y el Pasaje comercial Boulevar, se encuentra tu nuevo hogar: una deslumbrante casa de 245m2 llena de luz y amor. Rodeada de espacios verdes y la bulliciosa Villa Olímpica, te brinda una mezcla perfecta de tranquilidad y emoción. ¿

Desde la acogedora sala y comedor hasta la cocina integral moderna, cada espacio está diseñado para tu disfrute. Las tres habitaciones ofrecen un refugio tranquilo, mientras que el balcón y los patios te invitan a disfrutar del aire libre. Y para la máxima indulgencia, el tercer piso es una suite principal con un baño privado y un walking closet. ¿

Esta casa es tu entrada a una vida llena de felicidad, en una ubicación estratégica, con acabados de alta calidad y una funcionalidad sin igual. ¿Estás listo para la mejor versión de tu vida? ¡Llámanos ahora y ven a conocer tu futuro hogar! ¿¿",5,5,4,"['Comedor auxiliar', 'Tipo de cortinas persianas', 'Estudio o biblioteca', 'Parqueadero cubierto', 'Hall de alcobas', 'Equipado / amoblado', 'Zona de lavandería', 'Instalación de gas natural', 'Closets 4', 'Número de líneas teléfonicas 0', 'Se permite fumar', 'Calentador gas', 'Tipo de casa tradicional', 'Tipo de cocina en u', 'Tipo de comedor comedor independiente', 'Deposito 1', 'Tipo de estufa gas', 'Tipo de parqueadero propio', 'Tipo acabado de piso porcelanato', 'Tipo de piso en alcobas laminado', 'Tipo de piso en comedor porcelanato', 'Tipo de piso en estudio laminado', 'Tipo de piso en sala laminado', 'Vista exterior', 'Area lote 120 m²', 'Area Terraza/Balcón 30 m²', 'Acceso para discapacitados', 'Jardín', 'Vista panorámica', 'Número de Ascensores 0', 'Terraza/Balcón terraza', 'Vigilancia 0', 'Zona para niños', 'Zonas verdes', 'Cerca centros comerciales', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca transporte público', 'Sobre vía secundaria']","['Comedor auxiliar', 'Tipo de cortinas persianas', 'Estudio o biblioteca', 'Parqueadero cubierto', 'Hall de alcobas', 'Equipado / amoblado', 'Zona de lavandería', 'Instalación de gas natural', 'Closets 4', 'Número de líneas teléfonicas 0', 'Se permite fumar', 'Calentador gas', 'Tipo de casa tradicional', 'Tipo de cocina en u', 'Tipo de comedor comedor independiente', 'Deposito 1', 'Tipo de estufa gas', 'Tipo de parqueadero propio', 'Tipo acabado de piso porcelanato', 'Tipo de piso en alcobas laminado', 'Tipo de piso en comedor porcelanato', 'Tipo de piso en estudio laminado', 'Tipo de piso en sala laminado', 'Vista exterior', 'Area lote 120 m²', 'Area Terraza/Balcón 30 m²', 'Acceso para discapacitados', 'Jardín', 'Vista panorámica', 'Número de Ascensores 0', 'Terraza/Balcón terraza', 'Vigilancia 0', 'Zona para niños', 'Zonas verdes', 'Cerca centros comerciales', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca transporte público', 'Sobre vía secundaria']",0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,10/3/2023,tunja
"Apartamento en Venta, Tunja",12937-M4542412,Tunja,na,na,apartamento,$271.311.500,Entre 0 y 5 años,91.97 m²,91.97 m²,1,"EL PORTAL DEL BOSQUE CUENTA CON 

Área construida 68,46m 

 Baños 2 Alcobas 3 Sala-Comedor , Cocina ,estudio ,Zona Ropas 

Precio $ 271.311.500 $ .Cuenta con las siguientes zonas comunes

ZONA COMERCIAL 

PARQUEADERO DE VISITANTES

SALON DE EVENTOS 

GIMNASIO

SAUNA 

JACUZZI

TERRAZA DE AEROBICOS

ZONA DE BARBACOA

SENDEROS ECOLOGICOS 

PARQUES INFANTILES

CANCHA MÚLTIPLE

Invierta en una vivienda propia en Colombia. En EL PORTAL DEL BOSQUE te ayudamos a proteger tu futuro y el de tu familia . ¡Es un negocio rentable!

Agente Maria Munoz - ID 4053
",3,3,2,"['Jacuzzi', 'Sauna / turco', 'Ascensor', 'Parqueadero visitantes', 'Con terraza', 'Gimnasio', 'Zona de BBQ', 'Cerca parques']","['Jacuzzi', 'Sauna / turco', 'Ascensor', 'Parqueadero visitantes', 'Con terraza', 'Gimnasio', 'Zona de BBQ', 'Cerca parques']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10/3/2023,tunja
"Apartamento en Venta, LAS NIEVES",652-M3455828,LAS NIEVES,5.537379,-73.357397,apartamento,$230.000.000,Entre 5 y 10 años,75 m²,75 m²,1,"Excelente apartamento muy bien ubicado, tiene cocina integral, zona de ropas con instalaciones para lavadora, sala comedor estudio integrados y terraza amplia-garaje",4,2,1,"['Parqueadero cubierto', 'Zona de lavandería', 'Piso 4', 'Tipo de cocina paralela', 'Deposito 0', 'Vista exterior']","['Parqueadero cubierto', 'Zona de lavandería', 'Piso 4', 'Tipo de cocina paralela', 'Deposito 0', 'Vista exterior']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10/3/2023,tunja
"Apartamento en Venta, Centro Historico",MC4598228,Centro Historico,5.532949,-73.360721,apartamento,$390.000.000,Más de 20 años,149 m²,133 m²,1,"Descubre este exclusivo apartamento en el centro histórico de Tunja. 133 metros cuadrados, cuatro habitaciones, tres baños, cocina integral, sala, comedor, estudio, zona de lavandería, patio, terraza, hall de distribución, parqueadero y tre bodegas. Acabados de alta calidad. ¡Ofertas bienvenidas!",4,4,3,"['Baño auxiliar', 'Características del parqueadero cubierto', 'Citófonos', 'Cocina integral', 'Estudio o biblioteca', 'Piso en alfombra', 'Piso en baldosa', 'Zona de lavandería', 'Piso 3', 'Tipo de parqueadero propio', 'Cerca centros comerciales', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público', 'Ubicado en edificio', 'Zona comercial', 'Zona residencial']","['Baño auxiliar', 'Características del parqueadero cubierto', 'Citófonos', 'Cocina integral', 'Estudio o biblioteca', 'Piso en alfombra', 'Piso en baldosa', 'Zona de lavandería', 'Piso 3', 'Tipo de parqueadero propio', 'Cerca centros comerciales', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca supermercados', 'Cerca transporte público', 'Ubicado en edificio', 'Zona comercial', 'Zona residencial']",0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,10/3/2023,tunja
"Casa en Venta, Tunja",10159-M4450083,Tunja,na,na,apartamento,$260.000.000,Más de 20 años,144 m²,144 m²,1,"Código 6757FR020 Casa amplia con un área de terreno de 72 mts y un área construida de 144 mts, con la ventaja que tiene dos fachadas, Excelente ubicación a tan solo tres cuadras de la iglesia y unos pasos del colegio, encontraras cerca la plaza de mercado del sur, estrato 3, antigüedad de 34 años

Primer Nivel Apartamento de 3 habitaciones, sala comedor, baño completo, cocina semi-integral y garaje incluida área de ropas.

Segundo Nivel 2 habitaciones, cocina semi-integral, sala comedor, baño. Opción de ampliación para construir un apartaestudio en un área de aproximadamente 30 mts.

La casa cuenta con reformas recientes con muy buenos acabados, pisos en cerámica, paredes estucadas y pintadas, ornamentación metálica en ambas fachadas, puertas en madera, cubierta en teja Eternit y con perfiles metálicos, baños completos en cerámica y con duchas eléctricas, el garaje y salón del segundo piso se encuentra en piso de cemento.
",3,5,2,"['Cocina integral', 'Hall de alcobas', 'Zona de lavandería', 'Piso 2', 'Tipo acabado de piso cerámica', 'Area lote 144 m²', 'Vivienda bifamiliar', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca transporte público', 'Zona residencial']","['Cocina integral', 'Hall de alcobas', 'Zona de lavandería', 'Piso 2', 'Tipo acabado de piso cerámica', 'Area lote 144 m²', 'Vivienda bifamiliar', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca transporte público', 'Zona residencial']",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10/3/2023,tunja
"Apartamento en Venta, MANZANARES",482-M4420550,MANZANARES,5.528138,-73.351136,apartamento,$160.000.000,Entre 0 y 5 años,57 m²,57 m²,1,"Apartamento en obra gris  muy bien ubicado en exclusiva zona de Boyaca,  3 habitación,  2  baños, estudio , sala comedor tipo americano, zona de ropas, parqueadero .",3,3,2,"['Estudio o biblioteca', 'Parqueadero cubierto', 'Hall de alcobas', 'Zona de lavandería', 'Instalación de gas natural', 'Piso 202', 'Calentador gas', 'Tipo de comedor sala comedor', 'Tipo de estufa gas', 'Tipo de parqueadero propio', 'Tipo acabado de piso cemento', 'Tipo de piso en alcobas cemento', 'Tipo de piso en comedor cemento', 'Tipo de piso en sala cemento', 'Vista exterior', 'Ascensor', 'Número de Ascensores 1', 'Gimnasio', 'Salón comunal', 'Zonas verdes', 'Cerca colegios / universidades', 'Cerca supermercados', 'Sobre vía secundaria']","['Estudio o biblioteca', 'Parqueadero cubierto', 'Hall de alcobas', 'Zona de lavandería', 'Instalación de gas natural', 'Piso 202', 'Calentador gas', 'Tipo de comedor sala comedor', 'Tipo de estufa gas', 'Tipo de parqueadero propio', 'Tipo acabado de piso cemento', 'Tipo de piso en alcobas cemento', 'Tipo de piso en comedor cemento', 'Tipo de piso en sala cemento', 'Vista exterior', 'Ascensor', 'Número de Ascensores 1', 'Gimnasio', 'Salón comunal', 'Zonas verdes', 'Cerca colegios / universidades', 'Cerca supermercados', 'Sobre vía secundaria']",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,10/3/2023,tunja
"Casa en Venta, NORTE",11295-M3470246,NORTE,na,na,apartamento,$160.000.000,Entre 5 y 10 años,55 m²,55 m²,,"Casa al norte de Tunja a 2 minutos consta en el primer piso sala comedor y baño y el segundo piso una habitación, cocina y baño. Amplias zonas verdes, zona social, lago, bosque interno y canchas deportivas en construcción.",4,1,1,"['Zona de lavandería', 'Tipo de casa tradicional', 'Deposito 1', 'Area lote 55 m²', 'Conjunto cerrado']","['Zona de lavandería', 'Tipo de casa tradicional', 'Deposito 1', 'Area lote 55 m²', 'Conjunto cerrado']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10/3/2023,tunja
"Casa en Venta, EL PARAISO TUNJA",11295-M4204386,EL PARAISO TUNJA,5.537356,-73.362719,apartamento,$160.000.000,Entre 10 y 20 años,92 m²,92 m²,1,"Se vende casa esquinera de 2 niveles en una ubicación privilegiada, cerca del Colegio Inem y con fácil acceso a transporte público. A solo 7 minutos del centro histórico, esta vivienda cómoda consta de sala comedor, baño social, cocina, patio de ropas y una habitación en el primer nivel. En el segundo nivel, se encuentran 3 habitaciones y 1 baño. Además, cuenta con una zona de parqueo. ¡No pierdas la oportunidad de adquirir esta casa en una excelente ubicación y con todas las comodidades que necesitas para vivir cómodamente!",3,3,2,"['Zona de lavandería', 'Tipo de casa tradicional', 'Vista exterior']","['Zona de lavandería', 'Tipo de casa tradicional', 'Vista exterior']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10/3/2023,tunja
"Local Comercial en Venta, Nuevo colon",3561-M3112577,nuevo colon,,,local,$300.000.000,Entre 10 y 20 años,64 m²,64 m²,$10.00 ,"HERMOSO LOCAL COMERCIAL, TIENE 2 PUNTOS DE GAS , BODEGA , 2 BAÑOS, PISO ENCHAPADO, LUZ NATURAL EXELENTE UBICACION COMERCIAL, CUANTA CON SU PROPIA BAHIA DE PARQUEO.",3,,,"['Número de líneas teléfonicas 0', 'Número de local 1', 'Piso 1', 'Tipo de local afueras centro comercial', 'Vista exterior', 'Número de Ascensores 0']","['Número de líneas teléfonicas 0', 'Número de local 1', 'Piso 1', 'Tipo de local afueras centro comercial', 'Vista exterior', 'Número de Ascensores 0']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10/3/2023,tunja
"Apartamento en Venta, Unicentro",10159-M4538291,Unicentro,5.547044,-73.349235,apartamento,$435.000.000,Entre 5 y 10 años,93.38 m²,90 m²,$250.00 ,"Código 6892FR040 Excelente oportunidad de adquirir apartamento al norte de la ciudad de Tunja, cerca del campus de la Universidad de Boyacá, Green Hills, Colegio San Viator, cuenta con buen transporte público y está ubicado en una zona de alta valorización, este consta de tres habitaciones con closet, habitación principal con baño privado y vestier, baño social, sala- comedor con chimenea, cocina integral, zona de lavandería, calentador, citó fono, pisos en madera laminada, deposito doble, parqueadero, el edificio cuenta con GYM, Salón Social, , parque infantil, sala de recepción, Portería, Vigilancia las 24 horas y ascensor. Se entrega encortinado con panel japonés en la sala y blackout, en las habitaciones.

quieres obtener más información, contáctanos para ayudarte a elegir el espacio que buscas…
",5,3,2,"['Baño auxiliar', 'Calefacción', 'Chimenea', 'Citófonos', 'Cocina integral', 'Comedor auxiliar', 'Hall de alcobas', 'Vigilancia', 'Zona de lavandería', 'Piso 12', 'Deposito 1', 'Tipo acabado de piso cerámica', 'Ascensor', 'Baños de servicio', 'Circuito cerrado de TV', 'Parqueadero visitantes', 'Vista panorámica', 'Conjunto cerrado', 'Portería', 'Terraza/Balcón balcón', 'Gimnasio', 'Salón comunal', 'Zonas verdes', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca transporte público', 'Sobre vía principal', 'Zona comercial', 'Zona residencial']","['Baño auxiliar', 'Calefacción', 'Chimenea', 'Citófonos', 'Cocina integral', 'Comedor auxiliar', 'Hall de alcobas', 'Vigilancia', 'Zona de lavandería', 'Piso 12', 'Deposito 1', 'Tipo acabado de piso cerámica', 'Ascensor', 'Baños de servicio', 'Circuito cerrado de TV', 'Parqueadero visitantes', 'Vista panorámica', 'Conjunto cerrado', 'Portería', 'Terraza/Balcón balcón', 'Gimnasio', 'Salón comunal', 'Zonas verdes', 'Cerca colegios / universidades', 'Cerca parques', 'Cerca transporte público', 'Sobre vía principal', 'Zona comercial', 'Zona residencial']",1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,10/3/2023,tunja
"Apartamento en Venta, In Altezza",11295-M3556844,In Altezza,5.538987,-73.350477,apartamento,$531.000.000,Entre 5 y 10 años,137.54 m²,137.54 m²,$358.00 ,"Apartamento  Dúplex con vista hacia el sur y oriente de la ciudad tiene la siguiente distribución, el primer nivel : entrada , sala comedor, estudio abierto, balcón, cocina abierta, 1 baño social, habitación con baño privado y tina de hidromasajes. Segundo nivel : Escalera, estar de alcobas, zona de ropas, 3 alcobas con closet una de estas con baño privado vestier,balcón  y otra sólo con baño privado  . El edificio cuenta con equipamiento comunal, portería 24 horas, 2 ascensores, citofonía, chut de basuras,  sala de cine,  gimnasio, zona  de canchas deportivas , salón social y parqueadero de visitantes . Acometida general única a tanque de almacenamiento de agua potable. 
",5,5,5,"['Parqueadero cubierto', 'Zona de lavandería', 'Piso 1', 'Tipo de parqueadero propio', 'Conjunto cerrado']","['Parqueadero cubierto', 'Zona de lavandería', 'Piso 1', 'Tipo de parqueadero propio', 'Conjunto cerrado']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,10/3/2023,tunja
"Lote o Casalote en Venta, El Porvenir",11295-M3642302,El Porvenir,5.530388,-73.393903,lote,$65.000.000,Entre 0 y 5 años,0 m²,500 m²,,"Lote rural ubicado en la vereda Porvenir a 5 minutos del centro de  Tunja con una espectacular vista  a la ciudad con salida a la vía Samaca-Cucaita con los puntos de servicios cercanos especialmente para casa campestre.

",1,,,"['Tipo de lote lote vacío', 'Area lote 500 m²']","['Tipo de lote lote vacío', 'Area lote 500 m²']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/3/2023,tunja
"Lote o Casalote en Venta, Tunja",12937-M4492886,Tunja,0,0,lote,$8.949.600.000,Más de 20 años,0 m²,22374 m²,,"EXCELENTE PREDIO URBANO PARA DESARROLLO MIXTO - 22.374 UBICACION INDUSTRIAL TUNJA ZONA SUR

A dos minutos de la variante Bogotá - Tunja y 5 minutos de la antigua via 

La propiedad es privilegiada por su tamaño y el trafico de población gracias al gran desarrollo nacional del Parque Agroalimentario de Tunja.

El predio permite el desarrollo de proyectos industriales de bodegas yo vivienda VIS y no VIS 

Se escuchan ofertas! KV  +57 3053014518

Agente Kelly Valbuena - ID 3916
",1,,,['Area lote 22374 m²'],['Area lote 22374 m²'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/3/2023,tunja
"Casa en Venta, Los Muiscas",11295-M3972852,Los Muiscas,5.571878,-73.338583,apartamento,$280.000.000,Entre 5 y 10 años,150 m²,150 m²,1,"Casa de 2 niveles ubicado al norte de la ciudad cerca al Colegio de los Angeles, Green Hills, Clinica medilaser y Uniboyacá, cerca a zonas comerciales como supermercados, restaurantes, droguerías, parques. La propiedad se divide de la siguiente manera: el primer nivel se encuentra el garaje, sala comedor, cocina integral, 2 habitaciones con closet, 2 baños, uno en la habitación principal, otro social, patios de ropas y una sala de estudio. El segundo nivel está en obra negra proyectado para realizar 2 apartamentos independientes.",4,2,2,"['Parqueadero cubierto', 'Zona de lavandería', 'Tipo de casa tradicional', 'Tipo de parqueadero propio']","['Parqueadero cubierto', 'Zona de lavandería', 'Tipo de casa tradicional', 'Tipo de parqueadero propio']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10/3/2023,tunja
"Edificio de Apartamentos en Venta, Tunja",15997-M4428087,tunja,na,na,apartamento,$26.331.982.370,Entre 0 y 5 años,37488 m²,37488 m²,,"CLUB campestre, para inversionista con gran proyección y productivo; Cuenta con: glamping: 5 glampings totalmente dotados. 2 salones y 3 restaurantes. 1 bolera con 12 pistas automatizadas. boli-rana. tenis de mesa. billar. bar. zonas comunes. hotel con 14 habitaciones. senderos ecológicos. piscina. jacuzzi. zonas humedas. spa. salón de juegos. 2 salones de eventos. capilla. centro de convenciones. caba de vinos. 3 restaurantes. bosques nativos.
super oportunidad.
negociables.
",5,,,"['Acceso para discapacitados', 'Zona de BBQ']","['Acceso para discapacitados', 'Zona de BBQ']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/3/2023,tunja
"Apartamento en Venta, Zona Centro",10159-M4574524,Zona Centro,5.532949,-73.360721,apartamento,$115.000.000,Entre 5 y 10 años,35 m²,34 m²,,"VENTA APARTAESTUDIO UBICADO EN EL CENTRO DE TUNJA

Codigo 6950FR760 Moderno apartaestudio en edificio de cinco pisos, localizado en el centro de la ciudad. Con un  área privada de treinta y cuatro metros cuadrados, el inmueble se distribuye así Entrando se encuentra la sala comedor, cocina, area de ropas, y amplio ventanal la cual brinda muy buena iluminacion y ventilacion; luego se dispone el hall de alcoba que reparte para  el estudio, baño privado, y alcoba la cual tambien posee  amplio ventanal. El apartamento es exterior y colinda con la via publica.

Internamente, el apartaestudio presenta closet empotrado, una biblioteca, un calentador, cocina tipo americano, un hall de alcobas y suelo de cerámica y la alcoba con piso laminado. 

E apartaestudio se encuentra muy bien ubicado en el centro de la capital boyacense, cerca a la zona comercial, bancaria, institucional y educativa. 

Es una oferta excelente para aquellos que desean comprar un apartaestudio con características de",4,1,1,"['Calefacción', 'Cocina tipo americano', 'Estudio o biblioteca', 'Hall de alcobas', 'Piso 2', 'Tipo acabado de piso cerámica', 'Terraza/Balcón balcón', 'Cerca colegios / universidades', 'Cerca transporte público', 'Sobre vía principal', 'Zona residencial']","['Calefacción', 'Cocina tipo americano', 'Estudio o biblioteca', 'Hall de alcobas', 'Piso 2', 'Tipo acabado de piso cerámica', 'Terraza/Balcón balcón', 'Cerca colegios / universidades', 'Cerca transporte público', 'Sobre vía principal', 'Zona residencial']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10/3/2023,tunja
"Casa en Venta, CONDOMINIO EL LAGO",11295-M3487997,CONDOMINIO EL LAGO,5.595577,-73.324162,apartamento,$750.000.000,Entre 5 y 10 años,435 m²,435 m²,$220.00 ,"Sensacional casa en zona campestre  de 4  pisos con una área construida de 432 mts2 en un terreno total de 720 mts2 cuenta con 6 habitaciones con closets, 6 baños, cuarto estudio, chimenea, cocina integral tipo americano, jacuzzi en la habitación principal, zona de lavandería . La sala es amplia  y espacio de comedor independiente y garaje con puerta eléctrica",3,5,5,"['Zona de lavandería', 'Tipo de casa condominio', 'Conjunto cerrado']","['Zona de lavandería', 'Tipo de casa condominio', 'Conjunto cerrado']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10/3/2023,tunja
